Unidade da Federacao;BCG;Hepatite B  em criancas ate 30 dias;Rotavirus Humano;Meningococo C;Hepatite B;Penta;Pneumococica;Poliomielite;Poliomielite 4 anos;Febre Amarela;Hepatite A;Pneumococica(1o ref);Meningococo C (1o ref);Poliomielite(1o ref);Triplice Viral  D1;Triplice Viral  D2;Tetra Viral(SRC+VZ);DTP;DTP REF (4 e 6 anos);Triplice Bacteriana(DTP)(1o ref);Dupla adulto e triplice acelular gestante;dTpa gestante;Varicela; Total
Rio Grande do Norte;93.00;87.96;74.27;73.59;72.21;72.21;76.95;71.67;46.50;9.22;64.71;69.91;69.89;58.66;72.58;45.10;7.57;72.23;50.27;60.29;21.82;52.89;63.21;61.16
Paraiba;69.70;67.02;71.21;70.69;71.15;71.15;74.84;70.31;48.81;47.42;61.60;66.57;66.99;56.57;70.92;44.24;7.58;71.20;52.53;59.48;19.06;45.38;63.39;58.84
Pernambuco;82.62;80.75;68.75;69.11;69.21;69.21;72.36;69.00;41.87;47.84;63.33;65.61;66.09;53.27;72.02;44.95;4.65;69.22;48.85;58.41;23.67;52.68;65.61;59.16
Alagoas;74.66;70.31;79.42;78.58;78.37;78.37;83.04;77.55;47.14;43.40;68.14;69.57;72.31;58.39;77.67;50.27;8.20;78.40;53.09;64.19;24.52;51.29;69.78;63.42
Sergipe;89.54;86.29;73.72;74.15;72.74;72.74;76.53;72.27;52.65;2.00;66.56;69.05;71.34;59.47;76.52;61.33;11.42;72.76;54.55;61.07;21.94;38.87;73.95;63.09
Bahia;66.66;64.08;63.31;63.78;64.34;64.34;66.60;63.06;39.19;54.31;57.95;58.71;60.20;47.28;66.30;45.31;6.33;64.35;47.84;55.22;13.55;35.51;62.33;53.62
Minas Gerais;78.60;74.12;77.01;76.31;77.40;77.40;78.16;76.47;61.34;74.59;77.36;72.56;74.24;68.38;82.25;67.23;4.83;77.54;66.80;73.62;20.03;48.39;79.04;68.99
Espirito Santo;84.43;72.61;77.04;78.90;77.71;77.71;80.78;77.41;59.63;67.29;75.14;75.24;75.67;64.67;80.79;64.92;1.65;77.79;67.21;74.14;31.72;55.37;72.73;69.17
Rio de Janeiro;65.30;54.13;56.63;56.55;56.12;56.12;58.81;55.80;39.89;45.24;53.60;53.09;54.50;45.86;59.48;40.31;12.74;56.15;40.98;47.39;10.39;35.37;61.79;48.51
Sao Paulo;68.76;55.59;74.35;74.52;74.27;74.27;76.63;74.40;63.43;65.96;72.93;65.33;70.65;67.57;77.85;64.16;2.80;74.33;64.55;69.03;11.67;30.17;74.36;63.45
Parana;82.17;61.29;82.01;82.51;81.75;81.75;84.30;80.75;68.04;74.07;80.03;73.50;78.21;68.10;86.54;67.36;16.30;81.86;74.90;74.99;22.19;48.28;77.14;71.00
Santa Catarina;71.05;63.13;84.86;84.84;85.20;85.20;87.48;83.76;78.14;74.92;80.32;76.05;79.87;76.57;87.52;69.61;19.53;85.27;79.05;78.52;25.39;44.14;77.48;73.03
Rio Grande do Sul;79.52;69.65;78.00;78.02;76.46;76.46;80.96;76.35;61.84;61.05;70.50;68.47;73.76;66.86;79.88;56.03;3.44;76.59;63.10;68.83;18.51;48.12;65.57;65.96
Mato Grosso do Sul;65.35;59.41;76.19;76.92;75.81;75.81;79.57;75.71;61.74;67.60;68.86;72.36;72.97;65.87;78.12;37.40;5.21;76.03;61.44;65.71;17.03;48.66;65.16;63.31
Mato Grosso;81.81;76.02;77.31;77.66;76.22;76.22;81.53;76.29;62.66;66.12;70.14;73.46;75.76;65.63;80.88;41.97;6.84;76.23;67.16;69.00;18.29;54.75;65.55;66.45
Goias;74.25;67.04;74.62;74.95;73.12;73.12;77.83;72.72;55.51;66.00;70.24;70.45;71.52;61.85;79.53;48.87;7.41;73.22;58.54;64.34;15.29;44.67;61.35;62.46
Distrito Federal;98.78;93.05;75.60;75.99;73.16;73.16;78.50;73.23;66.48;70.99;73.06;74.79;74.11;66.55;83.21;54.67;1.95;73.25;66.40;67.26;12.19;61.32;75.47;67.97
